,Address,Lat,Lng
127,"6429 BRENTFORD DR, SPRINGFIELD, VA 22152",38.7741988,-77.2396397
128,"6323 OVER SEE CT, SPRINGFIELD, VA 22152",38.7785674,-77.2386734
129,"6157 GREEN HOLLOW CT,, SPRINGFIELD, VA 22152",38.785338,-77.248031
130,"8635 Tuttle Rd, SPRINGFIELD, VA 22152",38.7793948,-77.243883
131,"6901 Gillings Road, Springfield, VA 22152",38.7659003,-77.2399091
132,"6208 Rolling Road, West Springfield, VA 22152",38.781511,-77.236225
133,"6350 Rolling Mill Place, Suite 103, Springfield, VA 22152",38.7790053,-77.2382056
134,"6813 HATHAWAY ST, SPRINGFIELD, VA 22152",38.7680769,-77.2221257
135,"8411 Greeley Blvd, Springfield, VA 22152",38.7723621,-77.2368556
136,"7810 Harwood Pl, Springfield, VA 22152",38.7770301,-77.2161524
137,"6116 ROLLING RD STE 214, SPRINGFIELD, VA 22152",38.7842782,-77.2381331
138,"8513 Bauer Drive Apt 31, Springfield, VA 22152",38.7802158,-77.2386466
139,"6116 Rolling Road, West Springfield, VA 22152",38.784353,-77.2383374
140,"6353 Rolling Rd, Springfield, VA 22152, Springfield, VA 22152",38.7782883,-77.2314196
141,"6351 Rolling Road, Springfield, VA 22152",38.778369,-77.231559
142,"5969 QUEENSTON ST, SPRINGFIELD, VA 22152",38.788733,-77.235045
143,"8406 penshurst drive, Springfield, VA 22152",38.792448,-77.235195
144,"8809 Cameo square, Springfield, VA 22152",38.778435,-77.248386
145,"8530 BAUER CIR, SPRINGFIELD, VA 22152",38.7813167,-77.2377986
146,"6371 Rolling Mill Place #102, Springfield, VA 22152",38.7790053,-77.2382056
147,"7213 BURTON HILL CT, SPRINGFIELD, VA 22152",38.7583399,-77.233153
148,"8614 LANGPORT DR,, SPRINGFIELD, VA 22152",38.7656393,-77.2430074
149,"8208 SMITHFIELD AVE, W SPRINGFIELD, VA 22152",38.7699947,-77.2285478
150,"8818 Ridge Hollow Ct, Springfield, VA 22152",38.78542,-77.249342
151,"7918 JANSEN DR, SPRINGFIELD, VA 22152",38.7763139,-77.2180387
152,"6317 Gormley Place, Springfield, VA 22152",38.7794553,-77.214805
153,"7915 Greeley Blvd, Springfield, VA 22152",38.7701932,-77.2187124
154,"6200 Rolling Rd Unit 2551, Springfield, VA 22152",38.7824775,-77.2364739
155,"6451 ENGLISH IVY CT, SPRINGFIELD, VA 22152",38.777294,-77.239426
